"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerLNameComparatorJaccard-record1Value","0-PlayerLNameComparatorJaccard-record2Value","0-PlayerLNameComparatorJaccard-record1PreprocessedValue","0-PlayerLNameComparatorJaccard-record2PreprocessedValue","0-PlayerLNameComparatorJaccard-similarity","0-PlayerLNameComparatorJaccard-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1415","0.0",,"edson","bryan","edson","bryan","0.0","0.0","alvarez","idowu","alvarez","idowu","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1410","0.0",,"achraf","aziz","achraf","aziz","0.0","0.0","hakimi","bouhaddouz","hakimi","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1410","0.0",,"edson","aziz","edson","aziz","0.0","0.0","alvarez","bouhaddouz","alvarez","bouhaddouz","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1411","0.0",,"achraf","sofyan","achraf","sofyan","0.0","0.0","hakimi","amrabat","hakimi","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1412","0.0",,"achraf","ahmed","achraf","ahmed","0.0","0.0","hakimi","tagnaouti","hakimi","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1412","0.0",,"edson","ahmed","edson","ahmed","0.0","0.0","alvarez","tagnaouti","alvarez","tagnaouti","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1413","0.0",,"achraf","mehdi","achraf","mehdi","0.0","0.0","hakimi","carcela","hakimi","carcela","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1388","newplayerTeamData_1411","0.0",,"edson","sofyan","edson","sofyan","0.0","0.0","alvarez","amrabat","alvarez","amrabat","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1418","0.0",,"achraf","william","achraf","william","0.0","0.0","hakimi","ekong","hakimi","ekong","0.0","0.0"
"LinearCombinationMatchingRule","newplayerTeamData_1392","newplayerTeamData_1419","0.0",,"achraf","leon","achraf","leon","0.0","0.0","hakimi","balogun","hakimi","balogun","0.0","0.0"
